stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain
286,145,Paris - Nice,2022-03-06,2022-03-07,Stage 2,2,Stage,2.UWT,fr,https://www.procyclingstats.com/race/paris-nice/2022,https://www.procyclingstats.com/race/paris-nice/2022/stage-2,ME - Men Elite,2.WT.Stage,4,8,1,Flat,Auffargis,Orleans,12:25,47.077,159200.0,707.0,,,,,,,,,,,,,,
287,145,Paris - Nice,2022-03-06,2022-03-08,Stage 3,3,Stage,2.UWT,fr,https://www.procyclingstats.com/race/paris-nice/2022,https://www.procyclingstats.com/race/paris-nice/2022/stage-3,ME - Men Elite,2.WT.Stage,4,63,1,Flat,Vierzon,Dun-le-Palestel,11:25,43.449,190800.0,1929.0,,,,,,,,,,,,,,
288,145,Paris - Nice,2022-03-06,2022-03-09,Stage 4 (ITT),4,Individual Time Trial,2.UWT,fr,https://www.procyclingstats.com/race/paris-nice/2022,https://www.procyclingstats.com/race/paris-nice/2022/stage-4,ME - Men Elite,2.WT.Stage,4,18,1,Flat,Domerat,Montlucon,13:05,49.224,13400.0,188.0,,,,,,,,,,,,,,
289,145,Paris - Nice,2022-03-06,2022-03-10,Stage 5,5,Stage,2.UWT,fr,https://www.procyclingstats.com/race/paris-nice/2022,https://www.procyclingstats.com/race/paris-nice/2022/stage-5,ME - Men Elite,2.WT.Stage,4,188,4,"Mountains, flat finish",Saint-Just-Saint-Rambert,Saint-Sauveur-de-Montagut,11:10,38.596,188800.0,3408.0,,,,,,,,,,,,,,
290,145,Paris - Nice,2022-03-06,2022-03-11,Stage 6,6,Stage,2.UWT,fr,https://www.procyclingstats.com/race/paris-nice/2022,https://www.procyclingstats.com/race/paris-nice/2022/stage-6,ME - Men Elite,2.WT.Stage,4,97,2,"Hills, flat finish",Courthezon,Aubagne,10:40,38.475,213600.0,2878.0,,,,,,,,,,,,,,
291,145,Paris - Nice,2022-03-06,2022-03-12,Stage 7,7,Stage,2.UWT,fr,https://www.procyclingstats.com/race/paris-nice/2022,https://www.procyclingstats.com/race/paris-nice/2022/stage-7,ME - Men Elite,2.WT.Stage,4,303,5,"Mountains, uphill finish",Nice,Col de Turini,10:40,38.355,155200.0,3582.0,,,,,,,,,,,,,,
292,145,Paris - Nice,2022-03-06,2022-03-13,Stage 8,8,Stage,2.UWT,fr,https://www.procyclingstats.com/race/paris-nice/2022,https://www.procyclingstats.com/race/paris-nice/2022/stage-8,ME - Men Elite,2.WT.Stage,4,184,4,"Mountains, flat finish",Nice,Nice,14:00,40.096,115600.0,2436.0,,,,,,,,,,,,,,
293,146,Tirreno-Adriatico,2022-03-07,2022-03-07,Stage 1 (ITT),1,Individual Time Trial,2.UWT,it,https://www.procyclingstats.com/race/tirreno-adriatico/2022,https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-1,ME - Men Elite,2.WT.Stage,10,0,1,Flat,Lido di Camaiore,Lido di Camaiore,14:10,54.569,13900.0,4.0,,,,,,,,,,,,,,
294,146,Tirreno-Adriatico,2022-03-07,2022-03-08,Stage 2,2,Stage,2.UWT,it,https://www.procyclingstats.com/race/tirreno-adriatico/2022,https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-2,ME - Men Elite,2.WT.Stage,10,70,2,"Hills, flat finish",Camaiore,Sovicille,11:50,40.383,219000.0,2144.0,,,,,,,,,,,,,,
295,146,Tirreno-Adriatico,2022-03-07,2022-03-09,Stage 3,3,Stage,2.UWT,it,https://www.procyclingstats.com/race/tirreno-adriatico/2022,https://www.procyclingstats.com/race/tirreno-adriatico/2022/stage-3,ME - Men Elite,2.WT.Stage,10,53,2,"Hills, flat finish",Murlo,Terni,13:10,41.229,170000.0,2063.0,,,,,,,,,,,,,,
