stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain,race_oldest_pcs_link
3277,2025,Vuelta a El Salvador,2014-03-11,2014-03-15,Stage 4,4,Stage,2.1,sv,https://www.procyclingstats.com/race/vuelta-el-salvador/2014,https://www.procyclingstats.com/race/vuelta-el-salvador/2014/stage-4,WE - Women Elite,F-2.1.Stage,170,,0,,Apopa,El Boqueron,,34.57,50000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/vuelta-el-salvador/2004
3278,2025,Vuelta a El Salvador,2014-03-11,2014-03-16,Stage 5,5,Stage,2.1,sv,https://www.procyclingstats.com/race/vuelta-el-salvador/2014,https://www.procyclingstats.com/race/vuelta-el-salvador/2014/stage-5,WE - Women Elite,F-2.1.Stage,170,,0,,San Salvador,San Salvador,,37.05,68000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/vuelta-el-salvador/2004
3279,2026,Memorial Dimitar Yankov,2014-05-15,2014-05-15,Stage 1,1,Stage,2.1,bg,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014/stage-1,MJ - Men Juniors,J-2.1.Stage,127,,0,,Kosharitza,Sunny Beach,,41.48,84000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014
3280,2026,Memorial Dimitar Yankov,2014-05-15,2014-05-16,Stage 2 (ITT),2,Individual Time Trial,2.1,bg,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014/stage-2,MJ - Men Juniors,J-2.1.Stage,127,,0,,Nessebar,Kosharitca,,39.55,45000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014
3281,2026,Memorial Dimitar Yankov,2014-05-15,2014-05-17,Stage 3,3,Stage,2.1,bg,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014/stage-3,MJ - Men Juniors,J-2.1.Stage,127,,0,,Slanchev Bryag,Slanchev Bryag,,44.17,71000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/memorial-dimitar-yankov/2014
3282,2027,Giro della Regione Friuli,2014-09-02,2014-09-02,Stage 1a (TTT),1a,Team Time Trial,2.2,it,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014/stage-1a,ME - Men Elite,2.2.TTT,347,,0,,Azzano Decimo,Azzano Decimo,,52.17,20200.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/1963
3283,2027,Giro della Regione Friuli,2014-09-02,2014-09-02,Stage 1b,1b,Stage,2.2,it,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014/stage-1b,ME - Men Elite,2.2.Stage,347,,0,,Pasiano di Pordenone,Azzano Decimo,,45.31,110800.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/1963
3284,2027,Giro della Regione Friuli,2014-09-02,2014-09-03,Stage 2,2,Stage,2.2,it,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014/stage-2,ME - Men Elite,2.2.Stage,347,,0,,Valvasone,Forni di Sopra,,41.48,170800.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/1963
3285,2027,Giro della Regione Friuli,2014-09-02,2014-09-04,Stage 3,3,Stage,2.2,it,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014/stage-3,ME - Men Elite,2.2.Stage,347,,0,,Majano,Resia,,46.62,164900.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/1963
3286,2027,Giro della Regione Friuli,2014-09-02,2014-09-05,Stage 4,4,Stage,2.2,it,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014/stage-4,ME - Men Elite,2.2.Stage,347,,0,,Cividale del Friuli,Castelmonte,,40.9,161600.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/1963
3287,2027,Giro della Regione Friuli,2014-09-02,2014-09-06,Stage 5,5,Stage,2.2,it,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2014/stage-5,ME - Men Elite,2.2.Stage,347,,0,,Palmanova,Muggia,,45.34,121500.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/1963
3288,2028,Grand Prix 'Udmurtskaya Pravda',2014-06-11,2014-06-11,Stage 1 (ITT),1,Individual Time Trial,2.2,ru,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014/stage-1,ME - Men Elite,2.2.Stage,390,,0,,Izevsk,Izevsk,,53.2,18900.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014
3289,2028,Grand Prix 'Udmurtskaya Pravda',2014-06-11,2014-06-12,Stage 2,2,Stage,2.2,ru,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014/stage-2,ME - Men Elite,2.2.Stage,390,,0,,Izevsk,Izevsk,,36.96,120000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014
3290,2028,Grand Prix 'Udmurtskaya Pravda',2014-06-11,2014-06-13,Stage 3,3,Stage,2.2,ru,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014/stage-3,ME - Men Elite,2.2.Stage,390,,0,,Izevsk,Izevsk,,43.37,168000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014
3291,2028,Grand Prix 'Udmurtskaya Pravda',2014-06-11,2014-06-14,Stage 4,4,Stage,2.2,ru,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014/stage-4,ME - Men Elite,2.2.Stage,390,,0,,Izevsk,Izevsk,,43.55,139800.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014
3292,2028,Grand Prix 'Udmurtskaya Pravda',2014-06-11,2014-06-15,Stage 5,5,Stage,2.2,ru,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014/stage-5,ME - Men Elite,2.2.Stage,390,,0,,Izevsk,Izevsk,,42258.5,152600.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/grand-prix-udmurtskaya-pravda/2014
3293,2029,Grand Prix Cycliste Saguenay,2014-06-05,2014-06-05,Stage 1,1,Stage,2.2,ca,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2014,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2014/stage-1,ME - Men Elite,2.2.Stage,280,,0,,La Baie,La Baie,,42.97,166100.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2008
3294,2029,Grand Prix Cycliste Saguenay,2014-06-05,2014-06-06,Stage 2,2,Stage,2.2,ca,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2014,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2014/stage-2,ME - Men Elite,2.2.Stage,280,,0,,La Baie,La Baie,,42.77,170400.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2008
3295,2029,Grand Prix Cycliste Saguenay,2014-06-05,2014-06-07,Stage 3,3,Stage,2.2,ca,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2014,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2014/stage-3,ME - Men Elite,2.2.Stage,280,,0,,Chicoutimi,Chicoutimi,,46.02,74200.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2008
3296,2029,Grand Prix Cycliste Saguenay,2014-06-05,2014-06-08,Stage 4,4,Stage,2.2,ca,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2014,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2014/stage-4,ME - Men Elite,2.2.Stage,280,,0,,Chicoutimi,Chicoutimi,,40.37,149800.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/coupe-des-nations-ville-saguenay/2008
