,full_name,cyclist_id,url
380,ITURRIA Mikel,446.0,https://www.strava.com/athletes/1398975
381,JACOBS Johan,449.0,https://www.strava.com/pros/461374
382,JAIME Álex,450.0,https://www.strava.com/athletes/14180030
383,JANSE VAN RENSBURG Reinardt,452.0,https://www.strava.com/pros/3952107
384,JANSEN Amund Grøndahl,453.0,https://www.strava.com/athletes/4203551
385,JANSSENS Jimmy,454.0,https://www.strava.com/athletes/1644299
386,JAUREGUI Quentin,455.0,https://www.strava.com/pros/4334886
387,JENSEN August,456.0,https://www.strava.com/athletes/18311935
388,JERMAN Žiga,457.0,https://www.strava.com/athletes/3393516
389,JOHANSEN Julius,458.0,https://www.strava.com/athletes/6410711
390,JONES Taj,459.0,https://www.strava.com/athletes/11516170
391,JORGENSON Matteo,460.0,https://www.strava.com/athletes/557974
392,JOYCE Colin,461.0,https://www.strava.com/athletes/3418221
393,JUARISTI Txomin,462.0,https://www.strava.com/athletes/1389461
394,JULLIEN Anthony,464.0,https://www.strava.com/pros/2987896
395,JUNGELS Bob,465.0,https://www.strava.com/pros/49597893
396,KÄMNA Lennard,467.0,https://www.strava.com/pros/27117126
397,KAMP Alexander,468.0,https://www.strava.com/athletes/14899637
398,KAMSTRA Brian,469.0,https://www.strava.com/pros/6033817
399,KANGERT Tanel,470.0,https://www.strava.com/athletes/51228779
400,KEISSE Iljo,472.0,https://www.strava.com/pros/2835838
401,KELDERMAN Wilco,473.0,https://www.strava.com/pros/479385
402,KEUKELEIRE Jens,474.0,https://www.strava.com/pros/8075081
403,KING Ben,475.0,http://www.strava.com/athletes/50757
404,KIRSCH Alex,476.0,https://www.strava.com/pros/2590526
405,KLUGE Roger,478.0,https://www.strava.com/pros/22377272
406,KNOX James,479.0,https://strava.com/athletes/2260636
407,KOCH Jonas,480.0,https://www.strava.com/pros/4067146
408,KOCHETKOV Pavel,481.0,https://www.strava.com/athletes/79025475
409,KONOVALOVAS Ignatas,482.0,https://www.strava.com/athletes/3481562
410,KONRAD Patrick,483.0,https://www.strava.com/pros/4571461
411,KONYCHEV Alexander,484.0,https://www.strava.com/athletes/26816676
412,KRAGH ANDERSEN Søren,487.0,https://www.strava.com/athletes/27682210
413,KREDER Wesley,488.0,https://www.strava.com/pros/18606095
414,KRISTOFF Alexander,491.0,https://www.strava.com/athletes/9232885
415,KRON Andreas,492.0,https://www.strava.com/athletes/8783869
416,KRUIJSWIJK Steven,493.0,https://www.strava.com/pros/3056059
417,KUDUS Merhawi,494.0,https://www.strava.com/athletes/50750582
418,KULSET Kristian,495.0,https://www.strava.com/athletes/1783594
