team_name,pcs_link
Valcar - Travel & Service,https://www.procyclingstats.com/team/valcar-travel-service-2022
Uno-X Pro Cycling Team,https://www.procyclingstats.com/team/uno-x-pro-cycling-team-we-2022
Stade Rochelais Charente-Maritime,https://www.procyclingstats.com/team/stade-rochelais-charente-maritime-2022
GT Krush Tunap Pro Cycling,https://www.procyclingstats.com/team/gt-krush-tunap-2022
Movistar Team,https://www.procyclingstats.com/team/movistar-women-team-2022
Bepink ,https://www.procyclingstats.com/team/bepink-2022
Laboral Kutxa Fundacion Euskadi,https://www.procyclingstats.com/team/laboral-kutxa-fundacion-euskadi-2022
Sopela Women's Team,https://www.procyclingstats.com/team/sopela-women-s-team-2022
Massi - Tactic Women Team,https://www.procyclingstats.com/team/massi-tactic-women-team-2022
Rio Miera - Cantabria Deporte,https://www.procyclingstats.com/team/rio-miera-cantabria-deporte-2022
Equipo Coraza,https://www.procyclingstats.com/team/equipo-coraza-2022
Sindicato Argentino de TV,https://www.procyclingstats.com/team/sindicato-argentino-de-tv-2022
Construcciones Zea - El Faro,https://www.procyclingstats.com/team/boyaca-construcciones-zea-2022
Sindicato de Empleados Publicos of San Juan,https://www.procyclingstats.com/team/sindicato-empleados-publicos-of-san-juan-2022
Agrupacion Virgen de Fatima - San Juan Biker Motos,https://www.procyclingstats.com/team/agrupacion-virgen-de-fatima-2022
KTM,https://www.procyclingstats.com/team/ktm-2022
Electro 3 - Gremios por el Deporte,https://www.procyclingstats.com/team/electro-3-gremios-por-el-deporte-2022
Cascos Naranjos,https://www.procyclingstats.com/team/cascos-naranjos-2022
Chorrileros Team,https://www.procyclingstats.com/team/chorrileros-team-2022
Team Venzo,https://www.procyclingstats.com/team/team-venzo-2022
Paraguay,https://www.procyclingstats.com/team/paraguay-2022
Team Eldo Osimani,https://www.procyclingstats.com/team/team-eldo-osimani-2022
Chile,https://www.procyclingstats.com/team/chile-2022
Vittal San Luis,https://www.procyclingstats.com/team/vittal-san-luis-2022
Castano Team,https://www.procyclingstats.com/team/castano-team-2022
Somos Ranqueles,https://www.procyclingstats.com/team/somos-ranqueles-2022
Colombia Tierra de Atletas - GW - Shimano,https://www.procyclingstats.com/team/colombia-tierra-de-atletas-gw-shimano-2022
Wildlife Generation Pro Cycling,https://www.procyclingstats.com/team/wildlife-generation-pro-cycling-2022
Germany,https://www.procyclingstats.com/team/germany-2022
Colombia Tierra de Atletas - GW Bicicletas - Shimano,https://www.procyclingstats.com/team/colombia-tierra-de-atletas-gw-bicicletas-2022
Human Powered Health,https://www.procyclingstats.com/team/human-powered-health-women-2022
DNA Pro Cycling,https://www.procyclingstats.com/team/dna-pro-cycling-2022
Team Banco Guayaquil - Ecuador,https://www.procyclingstats.com/team/team-banco-guayaquil-ecuador-2022
Team SmartDry - Girona Cycling City,https://www.procyclingstats.com/team/team-smartdry-girona-city-cycling-2022
Aviludo - Louletano - Loule Concelho,https://www.procyclingstats.com/team/aviludo-louletano-loule-concelho-2022
Atum general / Tavira / Maria Nova Hotel,https://www.procyclingstats.com/team/atum-general-tavira-maria-nova-hotel-2022
Tavfer-Mortagua-Ovos Matinados,https://www.procyclingstats.com/team/tavfer-measindot-mortagua-2022
W52 / FC Porto ,https://www.procyclingstats.com/team/w52-fc-porto-2022
Efapel Cycling,https://www.procyclingstats.com/team/efapel-cycling-2022
Radio Popular - Paredes - Boavista,https://www.procyclingstats.com/team/radio-popular-paredes-boavista-2022
Kelly / Simoldes / UDO ,https://www.procyclingstats.com/team/kelly-simoldes-udo-2022
L.A. Aluminios / Credibom / Marcos Car,https://www.procyclingstats.com/team/l.a.-aluminios-credibom-marcos-car-2022
Team Jumbo-Visma ,https://www.procyclingstats.com/team/team-jumbo-visma-women-2022
Roland Cogeas Edelweiss Squad,https://www.procyclingstats.com/team/rolland-cogeas-edelweiss-squad-2022
CAMS - Basso,https://www.procyclingstats.com/team/cams-basso-2022
Team Farto - BTC,https://www.procyclingstats.com/team/team-farto-btc-2022
Bingoal Casino - Chevalmeire - Van Eyck Sport,https://www.procyclingstats.com/team/bingoal--chevalmeire-van-eyck-sport-2022
Eneicat - RBH Global,https://www.procyclingstats.com/team/eneicat-rbh-global-2022
Movistar - Best PC,https://www.procyclingstats.com/team/movistar-best-pc-2022
MIX 1,https://www.procyclingstats.com/team/mix-1-2022
St Michel - Auber93 WE,https://www.procyclingstats.com/team/st-michel-auber93-we-2022
Sestroretsk,https://www.procyclingstats.com/team/sestroretsk-2022
Ferei - CCN Metalac,https://www.procyclingstats.com/team/ferei-ccn-metalac-2022
Belarus,https://www.procyclingstats.com/team/belarus-2022
CSA Steaua Bucharest,https://www.procyclingstats.com/team/csa-steaua-bucharest-2022
Minsk Cycling Club,https://www.procyclingstats.com/team/minsk-cycling-club-we-2022
Great Britain,https://www.procyclingstats.com/team/great-britain-2022
Rwanda,https://www.procyclingstats.com/team/rwanda-2022
Grant Thornton - Bike Zone,https://www.procyclingstats.com/team/grant-thornton-bike-zone-2022
Le Col - Wahoo,https://www.procyclingstats.com/team/le-col-wahoo-2022
NXTG by Experza,https://www.procyclingstats.com/team/nxtg-by-experza-2022
Arkea Pro Cycling Team,https://www.procyclingstats.com/team/arkea-pro-cycling-team-2022
Multum Accountants Ladies Cycling Team,https://www.procyclingstats.com/team/multum-accountants-ladies-cycling-team-2022
Plantur-Pura,https://www.procyclingstats.com/team/plantur-pura-2022
Italy,https://www.procyclingstats.com/team/italy-2022
Biesse - Carrera ,https://www.procyclingstats.com/team/biesse-carrera-2022
General Store Essegibi F.lli Curia,https://www.procyclingstats.com/team/general-store-essegibi-f.lli-curia-2022
Voster ATS Team,https://www.procyclingstats.com/team/voster-ats-team-2022
Jumbo-Visma Development Team,https://www.procyclingstats.com/team/jumbo-visma-development-team-2022
Hrinkow Advarics Cycleang,https://www.procyclingstats.com/team/hrinkow-advarics-cycleang-2022
mebloJOGI Pro-concrete,https://www.procyclingstats.com/team/meblojogi-pro-concrete-2022
Berthold Rad Team ,https://www.procyclingstats.com/team/berthold-rad-team-2022
Wielerploeg Groot Amsterdam,https://www.procyclingstats.com/team/wielerploeg-groot-amsterdam-2022
WV Schijndel,https://www.procyclingstats.com/team/wv-schijndel-2022
AWOL O'Shea,https://www.procyclingstats.com/team/awol-o-shea-2022
Team Drenthe,https://www.procyclingstats.com/team/team-drenthe-2022
GRC Jan van Arckel,https://www.procyclingstats.com/team/grc-jan-van-arckel-2022
Watersley Race & Development CT,https://www.procyclingstats.com/team/watersley-race-development-ct-2022
NWV Groningen,https://www.procyclingstats.com/team/nwvg-2022
Restore Cycling,https://www.procyclingstats.com/team/restore-cycling-2022
Cycling Sport Club ''OLYMP'',https://www.procyclingstats.com/team/cycling-sport-club-olymp-2022
Lithuania,https://www.procyclingstats.com/team/lithuania-2022
Queen sport club,https://www.procyclingstats.com/team/queen-sport-club-2022
Leagues Regional Team ,https://www.procyclingstats.com/team/leagues-regional-team-2022
Romania,https://www.procyclingstats.com/team/romania-2022
Ukraine,https://www.procyclingstats.com/team/ukraine-2022
Georgia,https://www.procyclingstats.com/team/georgia-2022
Slovakia,https://www.procyclingstats.com/team/slovakia-2022
Zaaf Cycling Team,https://www.procyclingstats.com/team/zaaf-cycling-team-2022
Aromitalia - Basso Bikes - Vaiano,https://www.procyclingstats.com/team/aromitalia-basso-bikes-vaiano-2022
Born To Win G20 Ambedo,https://www.procyclingstats.com/team/born-to-win-g20-ambedo-2022
Nice Metropole Cote d'Azur,https://www.procyclingstats.com/team/nice-metropole-cote-d-azur-club-2022
ATOM Deweloper Posciellux.pl Wroclaw,https://www.procyclingstats.com/team/atom-deweloper-posciellux.pl-wroclaw-2022
A.S.D. Women Cycling Project,https://www.procyclingstats.com/team/asd-team-1971-2022
BTC City Ljubljana Scott,https://www.procyclingstats.com/team/btc-city-ljubljana-scott-2022
Isolmant - Premac - Vittoria,https://www.procyclingstats.com/team/isolmant-premac-vittoria-2022
Team Mendelspeck,https://www.procyclingstats.com/team/team-mendelspeck-2022
Team Feminin Le Boulou,https://www.procyclingstats.com/team/team-feminin-le-boulou-2022
Premier Tech U23 Cycling Project,https://www.procyclingstats.com/team/premier-tech-u-23-cycling-project-2022
CC Nogent-sur-Oise,https://www.procyclingstats.com/team/cc-nogent-sur-oise-2022
Geofco-Doltcini Materiel Velo.com,https://www.procyclingstats.com/team/geofco-doltcini-2022
VC Amateur Saint-Quentin,https://www.procyclingstats.com/team/vc-amateur-saint-quentin-2022
VC Rouen 76,https://www.procyclingstats.com/team/vc-rouen-76-2022
VolkerWessels Cycling Team,https://www.procyclingstats.com/team/volkerwessels-cyclingteam-2022
Metec - SOLARWATT p/b Mantel,https://www.procyclingstats.com/team/metec-solarwatt-p-b-mantel-2022
Bingoal Pauwels Sauces WB Development Team,https://www.procyclingstats.com/team/bingoal-wb-development-team-2022
JEGG-DJR Academy,https://www.procyclingstats.com/team/jegg-djr-academy-2022
Austria,https://www.procyclingstats.com/team/austria-2022
Team Dauner | Akkon,https://www.procyclingstats.com/team/team-dauner-akkon-2022
Monda Vakantieparken - IJsselstreek,https://www.procyclingstats.com/team/wv-de-ijsselstreek-2022
Proximus-Alphamotorhomes-Doltcini,https://www.procyclingstats.com/team/proximus-alphamotorhomes-2022
Andy Schleck - CP NVST - Immo Losch,https://www.procyclingstats.com/team/andy-schleck-cp-nvst-immo-losch-2022
Lviv Cycling Team women,https://www.procyclingstats.com/team/lviv-cycling-team-women-2022
S-Bikes Doltcini ,https://www.procyclingstats.com/team/s-bikes-doltcini-2022
Switzerland,https://www.procyclingstats.com/team/switzerland-2022
Netherlands,https://www.procyclingstats.com/team/netherlands-2022
