team_id,season,team_gen_id,team_name,team_class,team_oldest_pcs_link,pcs_link,team_pcs_id
371,1965,61298,Kas - Kaskol,,https://www.procyclingstats.com/team/kas-boxing-club-1958,https://www.procyclingstats.com/team/kas-kaskol-1965/overview/,1831.0
372,1964,61298,Kas Kaskol,,https://www.procyclingstats.com/team/kas-boxing-club-1958,https://www.procyclingstats.com/team/kas-kaskol-1964/overview/,1831.0
377,1959,61298,Kas,,https://www.procyclingstats.com/team/kas-boxing-club-1958,https://www.procyclingstats.com/team/kas-1959/overview/,1831.0
378,1958,61298,Kas - Boxing Club,,https://www.procyclingstats.com/team/kas-boxing-club-1958,https://www.procyclingstats.com/team/kas-boxing-club-1958/overview/,1831.0
379,1989,95093,Malvor - Sidi,,https://www.procyclingstats.com/team/malvor-bottecchia-1983,https://www.procyclingstats.com/team/malvor-sidi-1989/overview/,2049.0
381,1987,95093,Paini - Bottecchia,,https://www.procyclingstats.com/team/malvor-bottecchia-1983,https://www.procyclingstats.com/team/paini-bottecchia-1987/overview/,2049.0
385,1983,95093,Malvor - Bottecchia,,https://www.procyclingstats.com/team/malvor-bottecchia-1983,https://www.procyclingstats.com/team/malvor-bottecchia-1983/overview/,2049.0
386,1983,80346,Eorotex - Mavic,,https://www.procyclingstats.com/team/eorotex-mavic-1983,https://www.procyclingstats.com/team/eorotex-mavic-1983/overview/,
387,1984,41991,Elro Snacks - Auto Brabant - Clemenso,,https://www.procyclingstats.com/team/elro-snacks-auto-brabant-clemenso-1984,https://www.procyclingstats.com/team/elro-snacks-auto-brabant-clemenso-1984/overview/,
388,1983,28602,Elro Snacks - Auto Brabant,,https://www.procyclingstats.com/team/elro-snacks-auto-brabant-1983,https://www.procyclingstats.com/team/elro-snacks-auto-brabant-1983/overview/,
389,1982,45748,B&S - Elro Snacks - Concorde,,https://www.procyclingstats.com/team/b-s-elro-snacks-concorde-1982,https://www.procyclingstats.com/team/b-s-elro-snacks-concorde-1982/overview/,
390,1981,24826,Femis Bank - Elro Snacks - Pony,,https://www.procyclingstats.com/team/femis-bank-elro-snacks-pony-1981,https://www.procyclingstats.com/team/femis-bank-elro-snacks-pony-1981/overview/,
391,1980,63459,Elro Snacks - Rogelli - Assos,,https://www.procyclingstats.com/team/elro-snacks-rogelli-assos-1980,https://www.procyclingstats.com/team/elro-snacks-rogelli-assos-1980/overview/,
392,1985,25574,AVP - Viditel,,https://www.procyclingstats.com/team/avp-viditel-1985,https://www.procyclingstats.com/team/avp-viditel-1985/overview/,
393,1982,24756,Mavic - Clemenso,,https://www.procyclingstats.com/team/mavic-clemenso-1982,https://www.procyclingstats.com/team/mavic-clemenso-1982/overview/,
394,1983,6734,Vorselaars Autoschade Oisterwijk,,https://www.procyclingstats.com/team/vorselaars-autoschade-oisterwijk-1983,https://www.procyclingstats.com/team/vorselaars-autoschade-oisterwijk-1983/overview/,
395,1982,37712,Auto Brabant - Wouti - Clemenso,,https://www.procyclingstats.com/team/auto-brabant-wouti-clemenso-1982,https://www.procyclingstats.com/team/auto-brabant-wouti-clemenso-1982/overview/,
396,1979,20904,Fangio - Iso-Bel,,https://www.procyclingstats.com/team/fangio-iso-bel-1979,https://www.procyclingstats.com/team/fangio-iso-bel-1979/overview/,
397,1978,17458,Bode Deuren - Shimano,,https://www.procyclingstats.com/team/bode-deuren-shimano-1978,https://www.procyclingstats.com/team/bode-deuren-shimano-1978/overview/,
398,1986,11089,Transvemij - Van Schilt,,https://www.procyclingstats.com/team/transvemij-van-schilt-1986,https://www.procyclingstats.com/team/transvemij-van-schilt-1986/overview/,
399,1985,4165,Nikon - Van Schilt - Elro Snacks,,https://www.procyclingstats.com/team/nikon-van-schilt-elro-snacks-1985,https://www.procyclingstats.com/team/nikon-van-schilt-elro-snacks-1985/overview/,
400,1982,25918,AMKO eiken meubelen - Gazelle,,https://www.procyclingstats.com/team/amko-eiken-meubelen-gazelle-1982,https://www.procyclingstats.com/team/amko-eiken-meubelen-gazelle-1982/overview/,
