cyclist_id,pcs_link,strava_link,strava_id
1037,https://www.procyclingstats.com/rider/christophe-laporte,https://www.strava.com/pros/3834960,3834960
1040,https://www.procyclingstats.com/rider/christophe-le-mevel,http://www.strava.com/pros/4994417,4994417
1046,https://www.procyclingstats.com/rider/christophe-noppe,https://www.strava.com/pros/1964619,1964619
1054,https://www.procyclingstats.com/rider/christopher-froome,https://www.strava.com/pros/7491815,7491815
1057,https://www.procyclingstats.com/rider/christopher-lawless,https://www.strava.com/athletes/295073,295073
1078,https://www.procyclingstats.com/rider/claudio-cucinotta,https://www.strava.com/athletes/199627,199627
1093,https://www.procyclingstats.com/rider/clement-carisey,https://www.strava.com/athletes/1577875,1577875
1094,https://www.procyclingstats.com/rider/clement-champoussin,https://www.strava.com/athletes/3429256,3429256
1095,https://www.procyclingstats.com/rider/clement-chevrier,https://www.strava.com/pros/1634025,1634025
1098,https://www.procyclingstats.com/rider/clement-russo,https://www.strava.com/athletes/2905866,2905866
1099,https://www.procyclingstats.com/rider/clement-venturini,https://www.strava.com/pros/1932146,1932146
1105,https://www.procyclingstats.com/rider/cole-davis,https://www.strava.com/athletes/437664,437664
1108,https://www.procyclingstats.com/rider/colin-joyce,https://www.strava.com/athletes/3418221,3418221
1112,https://www.procyclingstats.com/rider/connor-swift,https://www.strava.com/pros/863203,863203
1113,https://www.procyclingstats.com/rider/conor-dunne,https://www.strava.com/athletes/759393,759393
1116,https://www.procyclingstats.com/rider/corbin-strong,https://www.strava.com/athletes/3419730,3419730
1119,https://www.procyclingstats.com/rider/corne-van-kessel,https://www.strava.com/pros/957045,957045
1137,https://www.procyclingstats.com/rider/cristian-rodriguez,https://www.strava.com/athletes/9796680,9796680
1150,https://www.procyclingstats.com/rider/cyril-lemoine,https://www.strava.com/pros/1880115,1880115
1156,https://www.procyclingstats.com/rider/daan-hoole,https://www.strava.com/pros/3979847,3979847
1167,https://www.procyclingstats.com/rider/damiano-caruso,https://www.strava.com/pros/4084289,4084289
1173,https://www.procyclingstats.com/rider/damien-monier,https://www.strava.com/athletes/1673838,1673838
1175,https://www.procyclingstats.com/rider/damien-touze,https://www.strava.com/athletes/2926114,2926114
1181,https://www.procyclingstats.com/rider/daniel-alexander-jaramillo-diez,https://www.strava.com/athletes/1450095,1450095
1200,https://www.procyclingstats.com/rider/daniel-lloyd,https://www.strava.com/athletes/336288,336288
1201,https://www.procyclingstats.com/rider/daniel-mclay,https://www.strava.com/athletes/34780520,34780520
1202,https://www.procyclingstats.com/rider/daniel-mestre,https://www.strava.com/athletes/26578113,26578113
1208,https://www.procyclingstats.com/rider/daniel-oss,https://www.strava.com/pros/690926,690926
1217,https://www.procyclingstats.com/rider/daniel-silva,https://www.strava.com/athletes/3308755,3308755
1233,https://www.procyclingstats.com/rider/daniele-colli,https://www.strava.com/pros/1745119,1745119
1254,https://www.procyclingstats.com/rider/danilo-wyss,https://www.strava.com/pros/2599710,2599710
1274,https://www.procyclingstats.com/rider/danny-van-poppel,https://www.strava.com/pros/994476,994476
1291,https://www.procyclingstats.com/rider/dariusz-baranowski,https://www.strava.com/athletes/7488690,7488690
1304,https://www.procyclingstats.com/rider/daryl-impey,https://www.strava.com/pros/1714205,1714205
1330,https://www.procyclingstats.com/rider/david-de-la-cruz,https://www.strava.com/pros/2014488,2014488
1333,https://www.procyclingstats.com/rider/david-dekker,https://www.strava.com/athletes/1439295,1439295
1343,https://www.procyclingstats.com/rider/david-gaudu,https://www.strava.com/pros/4774417,4774417
1345,https://www.procyclingstats.com/rider/david-gonzalez-lopez,https://www.strava.com/athletes/13720238,13720238
1357,https://www.procyclingstats.com/rider/david-lopez,http://www.strava.com/pros/2971302,2971302
1368,https://www.procyclingstats.com/rider/david-moncoutie,https://www.strava.com/athletes/3712535,3712535
1384,https://www.procyclingstats.com/rider/david-van-der-poel,https://www.strava.com/pros/542394,542394
1395,https://www.procyclingstats.com/rider/davide-bais,https://www.strava.com/athletes/2566327,2566327
1396,https://www.procyclingstats.com/rider/davide-ballerini,https://www.strava.com/athletes/1930273,1930273
1403,https://www.procyclingstats.com/rider/davide-cimolai,https://www.strava.com/pros/20904837,20904837
1404,https://www.procyclingstats.com/rider/davide-formolo,https://www.strava.com/pros/1850959,1850959
1408,https://www.procyclingstats.com/rider/davide-orrico,https://www.strava.com/athletes/1220401,1220401
1410,https://www.procyclingstats.com/rider/davide-rebellin,https://www.strava.com/athletes/13089269,13089269
1414,https://www.procyclingstats.com/rider/davide-villella,https://www.strava.com/pros/1756844,1756844
1440,https://www.procyclingstats.com/rider/denis-nekrasov,https://www.strava.com/athletes/25206273,25206273
1492,https://www.procyclingstats.com/rider/dimitri-claeys,https://www.strava.com/pros/4980290,4980290
1497,https://www.procyclingstats.com/rider/dimitri-peyskens,https://www.strava.com/athletes/1747204,1747204
1503,https://www.procyclingstats.com/rider/dion-smith,https://www.strava.com/pros/1323252,1323252
1534,https://www.procyclingstats.com/rider/dmitry-strakhov,https://www.strava.com/athletes/24843600,24843600
1536,https://www.procyclingstats.com/rider/domen-novak,https://www.strava.com/athletes/667297,667297
